Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
14737926358,youtube.com,6.205840603%,6.31%,3,00:14:43,8.99,30.53%,
794435414,amazon.com,1.022973093%,-9.48%,16,00:06:55,8.34,31.43%,
1877331568,twitter.com,0.981020330%,-7.74%,8,00:07:43,5.36,36.84%,
688240820,ebay.com,0.751384931%,1.22%,19,00:08:49,8.94,30.16%,
588085863,linkedin.com,0.396406593%,-4.83%,34,00:05:44,5.42,37.01%,
743285024,instagram.com,0.372969934%,4.18%,30,00:03:58,5.80,49.01%,
410247416,pinterest.com,0.357638225%,3.86%,53,00:07:51,7.19,33.82%,
Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
723048843,xvideos.com,0.355831283%,-2.65%,18,00:08:33,9.22,30.30%,
488626605,pornhub.com,0.316593722%,7.16%,42,00:07:33,7.16,27.21%,
794058298,tumblr.com,0.301874421%,2.74%,25,00:13:42,9.07,37.70%,
14737926358,youtube.com,6.205840603%,6.31%,3,00:14:43,8.99,30.53%,
794435414,amazon.com,1.022973093%,-9.48%,16,00:06:55,8.34,31.43%,
793376083,baidu.com,0.247602656%,-6.39%,27,00:07:36,3.95,26.54%,
1877331568,twitter.com,0.981020330%,-7.74%,8,00:07:43,5.36,36.84%,
480916963,xhamster.com,0.236568922%,-5.63%,33,00:09:41,10.67,34.37%,
123103579,walmart.com,0.192712721%,1.36%,157,00:04:58,6.32,37.05%,Yes
688240820,ebay.com,0.751384931%,1.22%,19,00:08:49,8.94,30.16%,
255873032,dropbox.com,0.144533039%,-1.02%,73,00:03:51,6.18,36.90%,
588085863,linkedin.com,0.396406593%,-4.83%,34,00:05:44,5.42,37.01%,
83628635,hulu.com,0.142754616%,11.17%,196,00:09:34,12.15,8.99%,
743285024,instagram.com,0.372969934%,4.18%,30,00:03:58,5.80,49.01%,
410247416,pinterest.com,0.357638225%,3.86%,53,00:07:51,7.19,33.82%,
531766261,apple.com,0.142741367%,-26.07%,37,00:02:48,2.98,41.04%,
723048843,xvideos.com,0.355831283%,-2.65%,18,00:08:33,9.22,30.30%,
488626605,pornhub.com,0.316593722%,7.16%,42,00:07:33,7.16,27.21%,
134270246,indeed.com,0.138771090%,0.45%,163,00:06:42,5.84,33.20%,Yes
238116600,youporn.com,0.116518816%,7.96%,77,00:06:58,8.52,34.10%,
794058298,tumblr.com,0.301874421%,2.74%,25,00:13:42,9.07,37.70%,
227177757,twitch.tv,0.114591119%,1.63%,136,00:06:38,4.15,26.63%,
793376083,baidu.com,0.247602656%,-6.39%,27,00:07:36,3.95,26.54%,
480916963,xhamster.com,0.236568922%,-5.63%,33,00:09:41,10.67,34.37%,
63279387,zillow.com,0.112513544%,0.21%,212,00:06:56,13.63,39.28%,Yes
192149331,flickr.com,0.106275683%,2.49%,74,00:04:31,13.23,33.88%,
123103579,walmart.com,0.192712721%,1.36%,157,00:04:58,6.32,37.05%,Yes
255873032,dropbox.com,0.144533039%,-1.02%,73,00:03:51,6.18,36.90%,
117052994,bilibili.com,0.101125389%,11.42%,227,00:09:45,5.34,26.12%,
65614306,att.com,0.099654883%,-12.60%,211,00:06:58,7.71,18.56%,
83628635,hulu.com,0.142754616%,11.17%,196,00:09:34,12.15,8.99%,
531766261,apple.com,0.142741367%,-26.07%,37,00:02:48,2.98,41.04%,
58274313,target.com,0.087932400%,1.57%,328,00:03:43,4.91,41.88%,
134270246,indeed.com,0.138771090%,0.45%,163,00:06:42,5.84,33.20%,Yes
819290129,google.ru,0.085599142%,-3.00%,22,00:07:36,7.14,33.46%,
238116600,youporn.com,0.116518816%,7.96%,77,00:06:58,8.52,34.10%,
136789136,download.cnet.com,0.085441773%,1.28%,217,00:02:58,2.92,39.54%,Yes
227177757,twitch.tv,0.114591119%,1.63%,136,00:06:38,4.15,26.63%,
162944073,java.com,0.084067094%,52.68%,277,00:02:36,2.56,50.73%,
63279387,zillow.com,0.112513544%,0.21%,212,00:06:56,13.63,39.28%,Yes
45062888,drudgereport.com,0.080486380%,1.38%,407,00:16:50,8.01,48.00%,
63588158,etsy.com,0.075574567%,2.64%,258,00:06:52,10.33,33.93%,
192149331,flickr.com,0.106275683%,2.49%,74,00:04:31,13.23,33.88%,
129973043,tube8.com,0.072274664%,-3.79%,152,00:04:52,6.60,43.18%,
117052994,bilibili.com,0.101125389%,11.42%,227,00:09:45,5.34,26.12%,
114774944,likes.com,0.070973750%,53.99%,230,00:03:47,8.99,19.00%,
65614306,att.com,0.099654883%,-12.60%,211,00:06:58,7.71,18.56%,
1311029622,google.co.uk,0.065550386%,-7.92%,13,00:09:54,7.50,34.80%,
58274313,target.com,0.087932400%,1.57%,328,00:03:43,4.91,41.88%,
45636099,verizonwireless.com,0.064158331%,-16.97%,304,00:05:35,4.25,38.11%,Yes
819290129,google.ru,0.085599142%,-3.00%,22,00:07:36,7.14,33.46%,
147658501,deviantart.com,0.063164832%,-3.59%,90,00:09:32,12.97,26.92%,
136789136,download.cnet.com,0.085441773%,1.28%,217,00:02:58,2.92,39.54%,Yes
80863454,ups.com,0.060868236%,0.88%,330,00:02:38,3.54,49.66%,
162944073,java.com,0.084067094%,52.68%,277,00:02:36,2.56,50.73%,
45062888,drudgereport.com,0.080486380%,1.38%,407,00:16:50,8.01,48.00%,
476825818,aliexpress.com,0.060240202%,7.26%,46,00:05:55,7.87,48.49%,
63588158,etsy.com,0.075574567%,2.64%,258,00:06:52,10.33,33.93%,
40120465,wunderground.com,0.058811740%,-9.26%,441,00:20:53,7.74,42.24%,
129973043,tube8.com,0.072274664%,-3.79%,152,00:04:52,6.60,43.18%,
