Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
9586241,myvideo.de,0.006524013%,1.57%,"3,094",00:05:40,6.64,45.63%,
665150,1iota.com,0.006471573%,32.07%,"50,052",00:03:41,4.87,33.78%,
856629,ghettotube.com,0.006339200%,-5.05%,"35,202",00:05:45,3.87,42.65%,
1016448,teepublic.com,0.006322383%,27.06%,"30,204",00:05:48,8.81,35.16%,
16400834,jkanime.net,0.006178169%,20.63%,"2,248",00:15:50,3.92,26.28%,
1390066,damnlol.com,0.006162372%,13.94%,"17,066",00:05:32,15.91,42.27%,
1319919,gurugossiper.com,0.006144251%,-1.58%,"23,831",00:12:54,7.65,18.64%,Yes
9910630,serialu.net,0.006120048%,-9.39%,"3,455",00:03:35,2.91,40.24%,
Estimated Visits,popdust.com,0.006119809%,-7.90%,23,399,00:00:48,3.56,77.74%,Yes
6701448,tvboxnow.com,0.006073317%,-7.62%,"2,729",00:06:36,9.00,22.14%,
845767,mobilevids.org,0.006031032%,22.61%,"41,979",00:06:44,5.88,6.29%,
2267008,mydootv.com,0.006008310%,-47.56%,"17,315",00:09:54,5.27,15.61%,
1054431,postermywall.com,0.005874627%,-0.80%,"33,484",00:03:54,3.50,30.47%,
594683,byutv.org,0.005847036%,51.10%,"82,423",00:05:44,2.74,37.90%,Yes
1079972,imfdb.org,0.005769752%,10.68%,"28,746",00:03:32,4.12,45.82%,Yes
812920,voices.com,0.005761549%,7.98%,"32,791",00:04:49,6.64,44.18%,
546112,windstreamonline.com,0.005738724%,-0.75%,"41,778",00:05:38,7.03,9.12%,
1294324,justinguitar.com,0.005688664%,28.70%,"32,817",00:05:37,3.99,46.50%,Yes
560795,nyfa.org,0.005588606%,-8.12%,"36,082",00:03:50,7.36,46.65%,
8344836,mp3xd.com,0.005574800%,54.12%,"3,410",00:05:31,4.12,35.67%,
3270918,tubetamil.com,0.005551813%,11.91%,"10,653",00:07:59,4.19,30.76%,Yes
1933485,imikimi.com,0.005546324%,29.44%,"11,956",00:11:32,13.55,27.93%,Yes
591817,tunespeak.com,0.005533805%,102.03%,"86,071",00:07:51,4.66,45.74%,
602996,cmj.com,0.005446106%,97.76%,"97,772",00:03:53,3.71,45.82%,
2582156,smackjeeves.com,0.005337679%,7.94%,"8,971",00:03:44,4.80,37.12%,Yes
2775687,logopond.com,0.005332364%,0.04%,"10,251",00:06:42,6.81,38.37%,Yes
977429,asianjunkie.com,0.005318517%,22.82%,"51,597",00:02:54,2.54,49.65%,
803927,kexp.org,0.005294395%,18.82%,"55,447",00:02:48,2.52,30.75%,Yes
3873103,hugelol.com,0.005282865%,52.29%,"15,194",00:05:40,5.29,24.07%,
528180,ftubef.com,0.005256980%,-1.29%,"38,158",00:07:39,18.19,32.26%,
Estimated Visits,ksn.com,0.005244374%,28.93%,89,421,00:02:16,1.44,78.29%,Yes
1129306,waves.com,0.005233163%,79.06%,"41,828",00:03:58,4.20,46.09%,
853754,evilmilk.com,0.005214925%,22.44%,"35,837",00:03:59,8.27,30.81%,
718546,englishanimes.com,0.005182403%,2.82%,"38,733",00:17:52,5.61,38.17%,
1397211,ffffound.com,0.005134908%,21.51%,"19,544",00:03:40,6.98,49.60%,
1778152,dxomark.com,0.005086983%,-11.73%,"16,538",00:04:34,5.65,38.96%,Yes
616629,latina.com,0.005009507%,-8.64%,"35,526",00:02:31,7.77,47.37%,
935971,killsometime.com,0.004999152%,18.63%,"29,644",00:05:43,8.00,44.06%,Yes
6000183,gnula.nu,0.004989738%,-1.24%,"6,591",00:04:59,2.74,37.63%,
3188469,indiaglitz.com,0.004959117%,-11.27%,"8,467",00:06:38,8.87,44.67%,Yes
1064210,giaitri.com,0.004947377%,-11.69%,"26,528",00:05:35,4.53,22.65%,
663698,textsfromlastnight.com,0.004932145%,8.51%,"52,998",00:04:51,3.22,44.78%,
5498881,cinetux.org,0.004813778%,-28.31%,"4,754",00:05:54,5.56,30.16%,
699374,spikednation.com,0.004798452%,25.61%,"51,096",00:07:31,4.89,21.17%,
Estimated Visits,digitaldreamdoor.com,0.004795163%,-1.15%,43,428,00:01:23,1.75,83.66%,Yes
545192,prankdial.com,0.004789641%,6.56%,"41,872",00:07:57,7.64,23.50%,Yes
596257,voice123.com,0.004775562%,-5.75%,"42,093",00:04:32,5.25,44.61%,
1631471,funnymama.com,0.004751316%,-13.93%,"17,546",00:02:32,4.11,49.00%,
1067416,wavo.me,0.004744689%,39.25%,"41,600",00:02:35,3.03,31.29%,
949752,partycloud.fm,0.004717027%,-5.97%,"20,018",00:09:46,10.97,17.25%,
1213802,doperoms.com,0.004704405%,11.40%,"23,362",00:03:42,5.47,29.67%,
1148785,bitstrips.com,0.004681726%,1.57%,"18,738",00:05:40,6.19,47.28%,Yes
806013,tapiture.com,0.004604104%,24.83%,"44,165",00:06:41,7.66,34.96%,
4733618,recpelis.com,0.004561763%,-38.21%,"4,551",00:04:36,3.93,39.18%,
1789872,midomi.com,0.004504666%,17.48%,"19,945",00:02:38,3.89,21.28%,
2187359,pep.ph,0.004501807%,-28.23%,"8,427",00:03:46,4.95,44.14%,
1660356,slides.com,0.004491064%,-2.18%,"9,347",00:07:37,26.82,25.08%,
651078,proctoru.com,0.004466562%,50.78%,"34,449",00:05:51,2.82,47.86%,
421597,marismatrix.com,0.004410264%,-17.60%,"34,710",00:16:57,16.40,8.19%,
Estimated Visits,mangawindow.com,0.004408200%,-2.02%,13,986,00:07:56,21.02,40.21%,
1393184,musicmp3.ru,0.004374828%,29.39%,"30,131",00:02:41,3.38,40.40%,
1988388,iranproud.com,0.004329847%,-37.13%,"13,172",00:03:43,2.66,35.74%,Yes
406652,krogerkrazy.com,0.004313871%,-28.82%,"54,713",00:04:41,3.83,46.87%,Yes
1087340,looperman.com,0.004306296%,-8.45%,"22,264",00:06:57,7.25,44.45%,Yes
1026042,photopin.com,0.004304643%,-8.74%,"34,542",00:04:32,3.30,17.75%,
19292144,animeid.tv,0.004301162%,-29.03%,"1,802",00:08:32,4.47,13.08%,
480402,midtowncomics.com,0.004273677%,22.27%,"49,334",00:05:43,8.95,27.75%,
2506584,watchseries.biz,0.004253410%,23.53%,"17,842",00:05:42,4.79,22.49%,
860692,shortoftheweek.com,0.004244670%,27.96%,"42,387",00:07:51,4.67,42.72%,
1069209,nerdcubed.co.uk,0.004219411%,21.72%,"33,212",00:04:56,6.57,50.43%,
2097288,allsp.ch,0.004185801%,185.37%,"12,230",00:41:41,45.02,7.74%,
921957,chordie.com,0.004170311%,-9.16%,"27,458",00:03:39,6.33,43.34%,Yes
494298,rifftrax.com,0.004164782%,64.37%,"83,937",00:03:47,4.71,42.26%,
406874,antennaweb.org,0.004141787%,-19.38%,"57,337",00:02:58,3.53,12.01%,Yes
436188,tvland.com,0.004105207%,-22.47%,"61,744",00:04:44,2.68,42.36%,
1870100,freelogoservices.com,0.004067633%,-5.69%,"9,676",00:05:35,6.08,37.84%,
1764555,urracatv.com,0.004063650%,-10.46%,"14,018",00:11:37,6.67,27.14%,
Estimated Visits,batoto.net,0.004062324%,109.42%,84,413,00:00:35,0.98,95.51%,
2602202,axxomovies.org,0.004051016%,-0.99%,"10,988",00:04:36,8.54,39.10%,
1167929,chocolatey.org,0.003971077%,68.96%,"47,804",00:03:42,3.20,48.53%,
2082163,tamilgun.com,0.003901885%,18.02%,"21,682",00:03:34,3.38,28.40%,
740167,tvteka.com,0.003897900%,-12.53%,"46,059",00:05:55,3.21,39.08%,
1620875,loudtronix.me,0.003889278%,-17.38%,"14,572",00:08:31,6.17,40.44%,
686155,animebytes.tv,0.003846090%,5.73%,"54,909",00:04:57,5.43,25.81%,
508036,replaypoker.com,0.003830782%,-26.86%,"42,159",00:11:41,6.85,15.76%,
748803,clubzone.com,0.003790488%,168.77%,"79,890",00:02:34,3.38,48.40%,Yes
872459,mixcrate.com,0.003718816%,15.88%,"32,113",00:05:44,5.80,44.28%,
663056,wfmu.org,0.003709450%,19.87%,"64,527",00:03:49,3.28,41.64%,
30769334,pudelek.pl,0.003708016%,-18.74%,878,00:09:34,5.73,30.42%,
489845,withoutabox.com,0.003705411%,-11.13%,"34,736",00:07:36,10.83,27.33%,
1315655,behringer.com,0.003701583%,-5.54%,"24,776",00:03:45,4.15,45.54%,
1446864,getmetal.org,0.003664922%,15.80%,"30,072",00:02:37,3.06,45.80%,
604723,tvpc.com,0.003634406%,-6.06%,"52,673",00:08:58,5.06,35.85%,
9339364,zdf.de,0.003555313%,-19.20%,"3,714",00:04:31,3.25,30.59%,
439257,figment.com,0.003553764%,4.54%,"43,878",00:06:56,10.04,37.23%,
Estimated Visits,g4tv.com,0.003552148%,-3.22%,51,087,00:00:52,1.59,76.24%,
472592,hsx.com,0.003541440%,12.31%,"47,509",00:05:36,12.42,20.91%,
414090,ohmyrockness.com,0.003523744%,37.93%,"91,212",00:04:39,4.32,47.79%,
861578,compfight.com,0.003513309%,-4.52%,"41,775",00:04:50,3.76,20.13%,
1329423,flv2mp3.com,0.003483113%,22.38%,"17,395",00:09:39,8.22,15.84%,
18347459,telecinco.es,0.003478503%,-16.91%,"1,951",00:17:50,4.02,36.48%,
839984,firstmovie.co,0.003437925%,64.14%,"52,070",00:02:49,7.48,38.82%,Yes
751101,karagarga.net,0.003419316%,15.25%,"42,040",00:04:46,6.51,24.98%,
374457,livephish.com,0.003398333%,227.93%,"148,967",00:04:55,5.58,35.86%,
1275376,mydramalist.com,0.003389135%,-12.01%,"23,255",00:03:52,5.30,46.93%,Yes
588118,btcjam.com,0.003364282%,-17.34%,"36,551",00:06:37,6.89,28.19%,
3222288,primeshare.tv,0.003351960%,-3.69%,"12,328",00:02:33,3.64,28.93%,
1170774,tucao.cc,0.003341785%,72.62%,"39,165",00:04:57,3.46,41.28%,
401619,banjohangout.org,0.003337889%,3.86%,"70,750",00:05:58,4.95,38.36%,Yes
922819,moreflicks.com,0.003310093%,39.19%,"48,715",00:02:46,3.91,17.36%,
1172963,fujifilm.com,0.003308119%,-18.85%,"28,411",00:02:58,3.26,48.69%,
1400383,mangaeden.com,0.003278807%,-20.12%,"5,226",00:12:34,37.94,38.25%,Yes
5615450,smotri.com,0.003237285%,-27.29%,"4,272",00:11:37,8.76,37.73%,
316167,mcmenamins.com,0.003231881%,15.13%,"87,335",00:02:48,3.65,32.38%,
Estimated Visits,debilizator.tv,0.003231091%,24.70%,9,295,00:04:45,3.48,17.15%,Yes
2184321,disney.co.uk,0.003225663%,-6.59%,"12,232",00:05:32,4.68,42.75%,
2900585,chdbits.org,0.003224235%,9.91%,"14,192",00:03:42,4.59,21.96%,
1321110,deturl.com,0.003220710%,2.81%,"30,486",00:03:33,2.52,46.89%,
347622,mypublisher.com,0.003193675%,1.27%,"76,749",00:03:34,3.40,37.77%,
1213023,animeshippuuden.com,0.003187870%,-4.12%,"34,495",00:10:42,2.90,39.06%,
541837,solarmovie.mx,0.003174752%,0.13%,"48,095",00:05:55,10.47,35.02%,
804940,pixar.com,0.003154100%,24.57%,"36,848",00:02:56,5.59,32.86%,
864880,gifyo.com,0.003119732%,65.19%,"24,054",00:17:51,31.06,28.92%,Yes
1105330,sawfirst.com,0.003117106%,-15.02%,"22,336",00:02:32,7.62,42.89%,
1598123,tellynagari.com,0.003116646%,-17.31%,"18,477",00:08:48,5.08,31.41%,Yes
937347,wgsn.com,0.003080220%,-7.51%,"17,035",00:06:37,25.55,46.89%,
2574155,jazzradio.com,0.003078946%,-18.63%,"15,831",00:15:40,4.46,26.96%,Yes
