Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
2325605,crashlytics.com,0.018202156%,15.37%,"15,627",00:06:56,7.65,23.00%,
Estimated Visits,android-developers.blogspot.com,0.018180352%,84.78%,87,143,00:01:03,1.11,83.95%,
1424507,proofhq.com,0.018132692%,30.10%,"29,198",00:05:32,3.24,45.57%,
1301694,cbtnuggets.com,0.017513069%,-7.72%,"22,012",00:05:39,4.97,25.78%,
1676800,mailgun.com,0.017053442%,12.36%,"15,352",00:07:50,7.34,20.71%,
48141542,chip.de,0.016434164%,23.58%,641,00:02:43,2.57,45.13%,Yes
1537928,boost.org,0.016004528%,18.06%,"25,372",00:04:45,3.70,49.22%,
1007096,etouches.com,0.015949335%,1.31%,"34,075",00:03:55,3.59,48.05%,
1463710,flamingtext.com,0.015916137%,-1.61%,"14,221",00:02:58,7.53,39.80%,
3189841,asrock.com,0.015640578%,23.23%,"11,603",00:03:47,3.89,39.14%,
692851,keysurvey.com,0.015153510%,5.96%,"40,707",00:02:56,5.99,39.51%,
554398,pickatime.com,0.015063155%,184.21%,"97,508",00:04:49,6.07,10.13%,
2864818,desktopnexus.com,0.014969073%,-13.60%,"6,336",00:03:34,7.94,43.68%,Yes
Estimated Visits,psdgraphics.com,0.014963312%,34.56%,22,757,00:01:00,2.85,72.56%,Yes
1917950,favicon.cc,0.014840645%,-9.90%,"15,431",00:02:38,4.51,32.54%,Yes
1474504,superrepo.org,0.014765199%,-0.03%,"23,616",00:04:36,4.20,41.28%,Yes
740958,spamarrest.com,0.014754930%,5.92%,"32,552",00:08:51,10.61,7.13%,
4059350,tp-link.com,0.014741420%,9.57%,"9,719",00:02:52,3.29,45.30%,
1441142,freedcamp.com,0.014420928%,-1.16%,"23,919",00:06:41,5.58,29.98%,
1572101,bugherd.com,0.014315002%,45.47%,"22,576",00:08:40,8.38,26.48%,
2026964,foobar2000.org,0.014259359%,23.35%,"24,380",00:02:56,2.70,40.02%,
966784,filesharingtalk.com,0.014117839%,3.50%,"40,893",00:02:55,2.96,49.93%,
2071026,topcoder.com,0.014031957%,1.82%,"16,865",00:03:45,4.82,45.73%,
11904742,intercambiosvirtuales.org,0.013996034%,-11.17%,"2,971",00:03:33,2.72,45.78%,
1377817,musicbrainz.org,0.013711574%,8.25%,"22,655",00:05:53,6.34,41.34%,
2732298,atlassian.com,0.013705560%,-1.23%,"13,869",00:02:58,2.69,45.74%,
3513696,fujitsu.com,0.013663223%,5.80%,"8,426",00:03:48,3.84,41.22%,
Estimated Visits,pc-file.com,0.013658084%,-3.02%,29,366,00:01:37,1.21,68.63%,
1339938,freshwap.me,0.013472228%,-14.67%,"19,582",00:04:44,5.25,35.99%,
1612402,imagemagick.org,0.013207572%,3.36%,"27,604",00:04:57,2.96,47.74%,Yes
2633840,lexmark.com,0.013146198%,-6.68%,"10,290",00:03:41,3.57,43.40%,
1029065,datastax.com,0.012880492%,-1.35%,"35,340",00:04:54,3.32,50.37%,
856077,cubify.com,0.012742517%,69.00%,"51,970",00:02:50,3.48,49.76%,
1508699,oldapps.com,0.012653097%,6.64%,"26,755",00:02:40,2.97,34.78%,Yes
3018541,devexpress.com,0.012447758%,9.96%,"11,243",00:05:57,3.68,48.55%,
874946,red.com,0.012360961%,18.29%,"41,246",00:02:52,3.87,42.55%,
894000,smule.com,0.012349301%,14.70%,"38,641",00:03:41,5.75,49.37%,
6361381,msi.com,0.012276797%,-5.65%,"4,562",00:02:50,3.55,44.06%,
1225849,codeanywhere.com,0.012062395%,2.37%,"36,001",00:04:47,2.56,30.89%,
Estimated Visits,boarddocs.com,0.012037232%,3.83%,76,804,00:03:20,2.83,42.95%,
954570,nzxt.com,0.011988146%,7.50%,"38,729",00:02:41,2.96,49.49%,
1176408,awrcloud.com,0.011714608%,26.43%,"20,347",00:09:46,13.92,11.19%,
395825,mymercy.net,0.011633420%,-19.10%,"37,267",00:09:46,11.05,5.78%,
536366,examsoft.com,0.011553010%,34.46%,"55,877",00:03:35,3.18,27.32%,
698691,originpc.com,0.011325436%,5.14%,"41,421",00:04:44,5.53,28.19%,
566106,discmakers.com,0.011315764%,16.86%,"50,614",00:03:56,5.00,32.22%,
2585380,cacoo.com,0.011278714%,-4.49%,"13,235",00:03:49,4.92,26.46%,
786469,thepaperwall.com,0.011273697%,42.81%,"31,037",00:04:31,17.70,28.39%,Yes
1330395,requirejs.org,0.011271523%,18.20%,"35,242",00:03:53,2.57,43.18%,
535392,tripplite.com,0.011028599%,6.27%,"61,284",00:02:47,3.25,50.49%,
3575434,apkmania.co,0.011018794%,-7.72%,"7,499",00:03:59,4.71,33.61%,
901867,yubico.com,0.010878193%,262.91%,"90,178",00:04:54,3.76,38.45%,
1679084,iphonecake.com,0.010853228%,6.18%,"19,837",00:05:48,6.76,28.45%,
5010641,verycd.com,0.010810879%,24.77%,"6,939",00:03:32,4.56,45.31%,
1140191,mobiletest.me,0.010716798%,7.82%,"24,330",00:05:36,11.17,16.99%,
1273685,2conv.com,0.010483413%,23.24%,"18,369",00:10:36,7.81,16.59%,
1340557,phpbb.com,0.010470588%,-5.24%,"24,903",00:05:46,6.28,42.75%,
567129,faithlife.com,0.010446279%,-8.37%,"37,207",00:03:35,3.98,43.11%,
522646,entheos.com,0.010267687%,-30.58%,"49,782",00:02:44,2.92,50.63%,
2034417,yithemes.com,0.010258251%,-0.45%,"18,206",00:03:54,3.26,45.62%,
1828822,sugarcrm.com,0.010244565%,8.04%,"20,956",00:02:40,2.71,42.82%,
