Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
1123640,scikit-learn.org,0.024843193%,17.85%,"35,961",00:05:51,3.19,50.50%,
1123640,scikit-learn.org,0.024843193%,17.85%,"35,961",00:05:51,3.19,50.50%,
685898,learningcatalytics.com,0.024065498%,19.08%,"47,231",00:07:52,4.59,16.59%,
1349093,wesleyan.edu,0.023897552%,-5.89%,"20,694",00:02:43,2.85,47.93%,
932345,greenville.k12.sc.us,0.023889665%,-23.67%,"20,788",00:02:35,2.68,39.48%,
581601,mylunchmoney.com,0.023565494%,-20.73%,"27,717",00:04:32,8.23,10.44%,
639906,sproutonline.com,0.023518327%,-6.98%,"29,360",00:12:39,10.25,26.62%,
752131,arcademics.com,0.023385589%,12.96%,"41,099",00:06:50,5.20,33.01%,Yes
763527,ccc.edu,0.023335304%,-0.93%,"33,831",00:03:49,3.44,47.88%,
2459606,umkc.edu,0.023236859%,4.84%,"13,366",00:02:52,2.54,47.92%,
2232253,unlv.edu,0.023058139%,2.51%,"11,534",00:02:42,3.42,47.25%,
1079690,getty.edu,0.022967150%,3.75%,"29,429",00:02:59,3.61,49.58%,
579761,staffmeup.com,0.022564917%,-2.50%,"45,380",00:04:34,5.19,37.91%,Yes
Estimated Visits,du.edu,0.022551393%,8.91%,16,753,00:02:51,3.14,47.54%,
568865,zinch.com,0.022206880%,0.18%,"42,374",00:05:56,5.49,38.12%,
3538958,fullsail.edu,0.022085340%,1.39%,"8,228",00:03:57,4.22,44.27%,
652949,iste.org,0.021802154%,-5.29%,"48,461",00:02:51,3.16,49.74%,
538406,myonlinelogin.com,0.021759495%,-12.22%,"34,438",00:09:43,10.97,6.58%,
577265,mylexia.com,0.021710516%,20.25%,"38,057",00:07:44,9.74,15.39%,
554777,driversed.com,0.021618460%,5.89%,"49,111",00:09:56,4.91,36.54%,
1643650,memphis.edu,0.021186165%,9.00%,"16,013",00:03:32,3.37,47.92%,
530180,ihsa.org,0.021151637%,91.48%,"71,080",00:04:55,7.34,24.17%,
2098543,unr.edu,0.021143599%,15.62%,"15,027",00:02:58,3.29,49.74%,
560264,creativecircle.com,0.020956507%,10.81%,"55,015",00:03:42,3.87,34.13%,
582611,startuphire.com,0.020955282%,6.90%,"52,082",00:02:52,4.18,49.10%,Yes
528121,biguniverse.com,0.020721939%,2.65%,"29,598",00:09:42,16.23,11.19%,
508353,careers.lowes.com,0.020488603%,-13.74%,"44,495",00:03:43,4.43,10.97%,
