Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
651842,puddingbuy.com,0.042680201%,-2.13%,"56,219",00:03:58,3.19,45.04%,Yes
763425,howaboutwe.com,0.042088483%,-14.58%,"27,492",00:05:54,9.10,28.90%,Yes
707452,compassion.com,0.041849206%,19.84%,"37,190",00:04:51,5.28,38.28%,
629084,vitalchek.com,0.041217253%,-8.23%,"26,744",00:06:41,13.23,20.22%,
1578696,lowendtalk.com,0.041067474%,8.50%,"27,870",00:06:32,3.19,50.11%,
1295662,headspace.com,0.038870202%,27.73%,"31,794",00:03:33,3.61,31.32%,
675571,truereligion.com,0.038346135%,45.77%,"51,026",00:04:34,7.17,29.29%,
Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
754815,avocado.io,0.038285036%,2.37%,"49,267",00:03:56,2.86,41.05%,
651842,puddingbuy.com,0.042680201%,-2.13%,"56,219",00:03:58,3.19,45.04%,Yes
763425,howaboutwe.com,0.042088483%,-14.58%,"27,492",00:05:54,9.10,28.90%,Yes
707452,compassion.com,0.041849206%,19.84%,"37,190",00:04:51,5.28,38.28%,
629084,vitalchek.com,0.041217253%,-8.23%,"26,744",00:06:41,13.23,20.22%,
1578696,lowendtalk.com,0.041067474%,8.50%,"27,870",00:06:32,3.19,50.11%,
613008,catholicmatch.com,0.036331486%,-15.49%,"31,231",00:06:48,9.54,26.74%,Yes
1295662,headspace.com,0.038870202%,27.73%,"31,794",00:03:33,3.61,31.32%,
675571,truereligion.com,0.038346135%,45.77%,"51,026",00:04:34,7.17,29.29%,
585973,rightnow.org,0.035930193%,-11.53%,"38,961",00:07:49,5.76,14.20%,
754815,avocado.io,0.038285036%,2.37%,"49,267",00:03:56,2.86,41.05%,
1914208,ghost.org,0.035247001%,19.77%,"23,411",00:03:54,3.57,49.27%,
613008,catholicmatch.com,0.036331486%,-15.49%,"31,231",00:06:48,9.54,26.74%,Yes
1257105,epsonconnect.com,0.034936303%,-2.10%,"28,400",00:05:46,3.66,14.51%,
