Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
543766,petfooddirect.com,0.293484841%,-7.84%,"39,846",00:03:45,6.14,43.29%,Yes
443296,banfield.com,0.251757754%,1.98%,"56,573",00:03:48,5.19,41.83%,
1955161,parrot.com,0.232910825%,-22.55%,"16,713",00:02:49,2.72,45.93%,
352427,nextdaypets.com,0.182462553%,-32.94%,"44,804",00:03:41,6.11,42.48%,Yes
275697,baxterboo.com,0.151527134%,40.20%,"106,058",00:03:34,5.44,48.77%,
190763,campbowwow.com,0.112887647%,13.92%,"146,306",00:03:54,3.32,23.36%,
312877,erlibird.com,0.097474286%,18.96%,"117,522",00:02:47,3.75,48.63%,
166183,petralingua.com,0.081733747%,-9.71%,"117,745",00:03:50,7.28,35.54%,
Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
543766,petfooddirect.com,0.293484841%,-7.84%,"39,846",00:03:45,6.14,43.29%,Yes
443296,banfield.com,0.251757754%,1.98%,"56,573",00:03:48,5.19,41.83%,
185433,sendicate.net,0.072080845%,85.53%,"193,229",00:02:38,4.03,49.62%,
1955161,parrot.com,0.232910825%,-22.55%,"16,713",00:02:49,2.72,45.93%,
352427,nextdaypets.com,0.182462553%,-32.94%,"44,804",00:03:41,6.11,42.48%,Yes
275697,baxterboo.com,0.151527134%,40.20%,"106,058",00:03:34,5.44,48.77%,
129122,ruffwear.com,0.060678381%,-5.50%,"153,207",00:03:43,4.72,37.39%,
190763,campbowwow.com,0.112887647%,13.92%,"146,306",00:03:54,3.32,23.36%,
107542,ddfl.org,0.060177088%,-3.06%,"174,220",00:02:38,4.17,32.87%,
111700,petsupermarket.com,0.056648395%,4.23%,"188,517",00:02:58,3.98,31.53%,
312877,erlibird.com,0.097474286%,18.96%,"117,522",00:02:47,3.75,48.63%,
114079,tortoiseforum.org,0.056635517%,-8.02%,"173,137",00:06:38,5.34,50.06%,Yes
166183,petralingua.com,0.081733747%,-9.71%,"117,745",00:03:50,7.28,35.54%,
146507,selfmgmt.com,0.056145379%,-4.53%,"143,607",00:11:35,5.83,18.79%,
107201,iams.com,0.052542142%,-32.59%,"178,234",00:03:58,5.27,39.25%,
185433,sendicate.net,0.072080845%,85.53%,"193,229",00:02:38,4.03,49.62%,
102648,petsupplies.com,0.052336611%,1.34%,"196,624",00:04:31,6.59,49.03%,
129122,ruffwear.com,0.060678381%,-5.50%,"153,207",00:03:43,4.72,37.39%,
84655,epethealth.com,0.050825990%,-11.77%,"204,012",00:03:55,4.08,40.19%,
107542,ddfl.org,0.060177088%,-3.06%,"174,220",00:02:38,4.17,32.87%,
90842,proplan.com,0.047556409%,11.32%,"238,876",00:02:53,4.01,50.19%,
111700,petsupermarket.com,0.056648395%,4.23%,"188,517",00:02:58,3.98,31.53%,
84775,petperks.com,0.047067066%,5.63%,"197,715",00:04:59,7.34,30.19%,
114079,tortoiseforum.org,0.056635517%,-8.02%,"173,137",00:06:38,5.34,50.06%,Yes
146507,selfmgmt.com,0.056145379%,-4.53%,"143,607",00:11:35,5.83,18.79%,
107201,iams.com,0.052542142%,-32.59%,"178,234",00:03:58,5.27,39.25%,
102648,petsupplies.com,0.052336611%,1.34%,"196,624",00:04:31,6.59,49.03%,
61030,onofrio.com,0.036005030%,-3.54%,"206,055",00:04:46,7.48,17.17%,
84655,epethealth.com,0.050825990%,-11.77%,"204,012",00:03:55,4.08,40.19%,
90842,proplan.com,0.047556409%,11.32%,"238,876",00:02:53,4.01,50.19%,
84775,petperks.com,0.047067066%,5.63%,"197,715",00:04:59,7.34,30.19%,
61030,onofrio.com,0.036005030%,-3.54%,"206,055",00:04:46,7.48,17.17%,
76232,offa.org,0.035584238%,25.85%,"251,593",00:05:38,7.70,48.00%,
67515,bigdweb.com,0.035519953%,2.53%,"185,179",00:04:40,9.62,43.40%,
91743,helpinglostpets.com,0.035113842%,56.52%,"315,954",00:04:35,5.74,47.63%,
60724,petkey.org,0.035034772%,6.44%,"270,501",00:03:53,5.13,45.76%,
55059,ctmone.com,0.033443253%,-37.03%,"139,345",00:24:40,23.57,2.95%,
83860,aqadvisor.com,0.030378710%,16.03%,"239,343",00:06:39,9.17,26.35%,Yes
Estimated Visits,petsit.com,0.030285081%,4.29%,339,346,00:02:34,2.81,49.21%,
57581,duncraft.com,0.028881617%,-7.50%,"294,126",00:02:49,4.52,41.28%,
49031,socalireefs.com,0.028183956%,18.80%,"326,340",00:14:34,8.92,22.69%,Yes
53376,shopmedvet.com,0.027474067%,4.42%,"293,099",00:03:56,5.75,49.94%,
46569,freshpet.com,0.027149210%,13.15%,"306,457",00:03:45,6.72,25.50%,
75777,orijen.ca,0.025952541%,7.55%,"307,144",00:03:52,3.02,33.88%,
44955,arba.net,0.024684594%,-5.62%,"385,989",00:02:49,3.79,47.93%,
80806,pixlee.com,0.024105709%,32.17%,"264,768",00:02:32,2.84,45.45%,
38688,pnwmas.org,0.022398494%,9.46%,"332,559",00:10:37,11.14,31.11%,
39428,glasscages.com,0.022293435%,20.91%,"508,207",00:02:56,3.37,45.15%,
139956,petvalu.com,0.021807452%,2.62%,"135,662",00:02:55,4.67,32.30%,
43734,rayallen.com,0.021579739%,3.64%,"335,381",00:04:43,8.88,36.88%,
43915,beneful.com,0.020239885%,-72.74%,"221,803",00:03:48,5.07,37.04%,
37052,catgenie.com,0.018767455%,18.67%,"536,051",00:04:59,3.60,26.38%,
43987,vollrath.com,0.017896760%,27.70%,"504,405",00:04:47,6.00,33.76%,
28235,repticon.com,0.016751041%,-11.21%,"645,382",00:04:52,6.13,47.95%,
Estimated Visits,welovecatsandkittens.com,0.016690631%,-3.87%,439,643,00:00:56,1.20,82.75%,Yes
33759,petpaint.com,0.016444698%,313.28%,"1,196,317",00:02:49,3.46,34.26%,
34165,ferret.com,0.014852537%,-26.35%,"366,132",00:03:49,5.36,46.58%,
24988,dogsondeployment.org,0.014630135%,18.51%,"585,956",00:05:55,5.23,35.44%,
23998,goldenbondrescue.com,0.014522139%,-27.44%,"515,061",00:08:31,5.79,10.53%,
31729,deertier.com,0.014294987%,143.25%,"1,045,493",00:02:46,4.69,21.80%,
31501,strayrats.com,0.014015806%,239.91%,"1,118,795",00:02:34,6.93,31.78%,
24635,lostdogrescue.org,0.014001721%,16.54%,"577,527",00:04:33,6.09,26.16%,
23363,usdaa.com,0.013446207%,23.14%,"891,284",00:02:51,4.33,39.21%,
54533,acana.com,0.013355157%,14.21%,"296,099",00:03:41,4.40,30.26%,
23629,turtleshack.com,0.013031934%,-47.47%,"310,637",00:06:33,6.99,26.76%,
22278,k9kennelstore.com,0.012787798%,-13.43%,"588,256",00:02:53,2.59,36.36%,
55732,zhunrize.com,0.012450562%,-76.14%,"86,059",00:03:34,7.68,32.61%,
55302,chattingcat.com,0.012440251%,29.19%,"329,475",00:10:34,4.76,22.57%,
23260,harrybarker.com,0.012344821%,6.84%,"711,415",00:03:51,4.12,38.78%,
21624,pacificeastaquaculture.com,0.012284514%,40.87%,"411,511",00:06:43,18.09,39.87%,
21273,azgardens.com,0.011990386%,-46.16%,"290,786",00:07:40,8.74,37.71%,
19653,ragom.org,0.011834593%,-25.04%,"481,044",00:06:37,7.31,17.01%,
68313,feliway.com,0.011806829%,2.81%,"364,138",00:02:59,3.11,28.57%,
Estimated Visits,windycityparrot.com,0.011798423%,-54.77%,281,919,00:04:59,6.60,57.73%,
41886,adproval.com,0.011596161%,30.60%,"470,163",00:02:35,4.38,48.09%,
59075,aldogroup.com,0.011521023%,28.24%,"344,798",00:02:51,4.17,11.11%,
21711,pridebites.com,0.009932914%,56.71%,"1,068,236",00:04:57,3.63,43.48%,
18497,vetsulin.com,0.009901192%,50.34%,"1,150,162",00:02:55,3.11,47.65%,
16095,kittyconnection.net,0.009800238%,44.39%,"771,185",00:08:32,11.18,24.14%,
16394,ghann.com,0.009585309%,117.62%,"573,788",00:04:44,243.14,5.88%,
57071,birdfont.org,0.009461595%,-3.67%,"388,137",00:02:53,2.97,49.83%,Yes
509933,monpetitgazon.com,0.009240517%,-24.86%,"36,906",00:02:51,6.68,12.66%,Yes
14909,wagercat.com,0.009042916%,65.02%,"524,636",00:09:55,21.87,0.00%,
15864,pacocollars.com,0.008865814%,18.08%,"943,520",00:03:45,9.80,32.65%,
18051,petego.com,0.008809127%,-24.57%,"592,178",00:02:52,8.47,41.94%,
17341,dogisgood.com,0.008717272%,15.35%,"906,115",00:03:56,6.19,31.21%,
15481,tidalgardens.com,0.008574321%,-12.03%,"822,876",00:03:43,4.31,24.63%,
14404,pawnaturals.com,0.008059398%,8.13%,"731,147",00:20:52,14.94,19.84%,
13485,dpca.org,0.007626350%,14.68%,"1,110,258",00:05:48,3.23,32.26%,
Estimated Visits,canigivemycat.com,0.007610998%,40.93%,1,360,586,00:01:49,3.92,70.91%,Yes
30677,german.net,0.007224427%,98.38%,"796,859",00:08:47,7.66,28.14%,Yes
22514,neunaber.net,0.007166313%,20.62%,"937,462",00:02:55,3.80,36.84%,
12347,v-dog.com,0.006969869%,-1.49%,"950,740",00:05:48,4.31,28.57%,
11578,hua.org,0.006769170%,-23.54%,"710,258",00:03:32,11.36,30.77%,
11191,apcages.com,0.006713911%,19.49%,"879,728",00:02:53,6.01,25.64%,
10330,freepetchipregistry.com,0.006183284%,-32.34%,"714,530",00:02:59,4.14,29.63%,
17520,psis119.org,0.006031782%,-35.97%,"690,026",00:06:41,4.45,23.44%,
9909,wsvma.org,0.005917724%,-13.74%,"1,291,424",00:03:55,3.60,12.50%,
10163,angorarabbit.com,0.005587253%,-38.10%,"531,349",00:12:54,9.02,35.40%,Yes
Estimated Visits,redecatur.com,0.005587070%,132.07%,3,336,940,00:00:21,1.91,73.68%,
9093,reddog77.com,0.005537953%,294.68%,"2,295,556",00:05:44,6.75,0.00%,
10348,citybark.com,0.005479162%,126.67%,"2,438,294",00:02:39,2.80,31.90%,
9252,barknpurr.com,0.005468336%,4.37%,"1,190,399",00:02:53,4.06,24.14%,
15401,gadgetcat.com,0.005423444%,217.62%,"3,343,891",00:14:37,12.72,17.79%,
17082,canadavet.com,0.004992954%,-35.48%,"613,517",00:04:40,6.76,16.00%,
12891,outugo.com,0.004763055%,53.30%,"1,638,478",00:05:43,2.57,33.33%,
9532,goodlad.com,0.004597852%,-52.08%,"495,812",00:21:49,22.26,0.00%,
7992,pets911.com,0.004435519%,-24.16%,"1,310,096",00:03:40,6.39,43.48%,
8371,valuevet.net,0.004409140%,205.16%,"3,581,059",00:04:47,3.45,17.56%,
7933,cbspigeon.com,0.004308278%,81.74%,"1,715,426",00:08:46,10.62,7.81%,
10306,fancymicebreeders.com,0.004154231%,1.52%,"932,306",00:07:34,15.75,15.15%,Yes
Estimated Visits,dog-health-handbook.com,0.004153859%,21.77%,1,970,601,00:00:01,0.56,96.43%,Yes
10769,tropiclean.com,0.004032611%,4.03%,"1,199,887",00:02:55,3.60,30.43%,
6419,gaomon.com,0.003852029%,76.99%,"1,904,243",00:02:56,4.38,29.59%,
8488,wellpet.com,0.003655393%,43.99%,"2,112,388",00:05:59,2.84,12.50%,
8325,aquaticlog.com,0.003569096%,-19.13%,"750,226",00:03:52,6.27,37.50%,
6430,kennelwood.com,0.003418690%,-35.33%,"1,211,453",00:02:49,4.34,42.86%,
6296,doguroo.com,0.003401052%,88.84%,"3,850,562",00:07:56,3.19,13.33%,
5326,tracysdogs.com,0.003244070%,6.38%,"1,741,568",00:03:56,5.68,25.00%,
6529,wagntails.com,0.003231496%,-41.18%,"1,078,571",00:06:42,3.93,44.44%,
Estimated Visits,mycockerspaniel.com,0.003231152%,4.43%,2,775,808,00:00:16,0.79,91.67%,
5269,goldendoodles.net,0.003209486%,-24.45%,"1,957,484",00:02:36,2.57,45.45%,
10916,optigen.com,0.003072395%,161.23%,"2,058,105",00:03:32,3.00,47.37%,
5273,royalpaws.com,0.002935054%,196.20%,"5,374,620",00:02:51,3.27,24.49%,
6364,jedds.com,0.002922141%,215.05%,"1,587,497",00:12:47,6.77,25.00%,
4899,nadac.com,0.002856174%,88.16%,"3,293,773",00:04:44,4.72,25.00%,
4535,shotvet.com,0.002761582%,-25.00%,"1,669,062",00:03:44,4.79,28.57%,
4571,uspets.com,0.002693974%,-3.90%,"1,833,081",00:05:32,5.31,40.00%,
5029,aheinz57.com,0.002614937%,-9.45%,"2,024,892",00:03:38,5.08,46.24%,
Estimated Visits,bijoupoodles.com,0.002614100%,3.03%,2,339,304,00:01:37,1.21,76.47%,
4952,kimbertal.com,0.002597841%,-31.66%,"1,318,646",00:03:33,8.73,22.22%,
4882,healthymouth.com,0.002565136%,5.78%,"1,779,140",00:07:57,5.68,20.00%,
7140,shor-line.com,0.002557004%,-46.83%,"1,093,116",00:02:46,3.68,36.84%,
5283,ioeba.net,0.002484828%,,"5,092,366",00:05:32,2.76,46.15%,
14683,nutro.ca,0.002477963%,-52.45%,"482,634",00:25:48,3.10,0.00%,
3951,petsway.com,0.002365330%,121.45%,"3,624,726",00:07:44,9.30,18.18%,
6676,aabp.org,0.002323673%,6.50%,"2,069,380",00:04:56,5.61,33.33%,
3901,goldreg.com,0.002313177%,-35.05%,"2,310,584",00:05:51,4.76,20.83%,
5572,multipet.com,0.002294589%,55.84%,"3,607,377",00:12:48,23.51,26.67%,
3736,graspinc.org,0.002275291%,-53.96%,"1,312,158",00:03:46,5.54,11.11%,
Estimated Visits,renkatoys.com,0.002274877%,,636,540,00:00:00,0.27,100.00%,
3796,mrsrothal.webs.com,0.002270319%,,"4,203,411",00:02:57,2.79,0.00%,
3660,affenpinscher.org,0.002226945%,22.05%,"3,416,293",00:15:58,5.23,0.00%,
4215,wagalot.com,0.002196878%,86.49%,"3,457,596",00:06:54,10.35,6.25%,
8299,earthbath.com,0.002156513%,-46.39%,"1,303,008",00:02:31,2.85,35.71%,Yes
5433,jaxandbones.com,0.002151249%,-13.95%,"2,027,090",00:05:49,8.33,20.00%,
7287,dogdug.com,0.002135262%,41.33%,"1,137,175",00:08:54,10.71,16.67%,
5077,georgiapawpad.com,0.002029112%,,"10,885,611",00:04:40,3.89,23.73%,
3508,gamma2.net,0.002025820%,,"4,029,697",00:03:54,5.24,16.67%,
3865,nhvnaturalpetproducts.com,0.001881777%,22.47%,"3,970,006",00:15:47,9.81,12.50%,
Estimated Visits,irish-expressions.com,0.001881109%,100.78%,4,414,759,00:00:03,0.88,92.31%,Yes
3736,damnpigeonny.com,0.001863947%,8.36%,"1,730,499",00:02:39,6.38,44.44%,
3374,zippypaws.com,0.001844417%,-40.67%,"1,209,400",00:02:32,3.79,28.57%,
3302,hugglehounds.com,0.001836679%,,"6,979,854",00:02:35,2.99,33.33%,
2995,inntopets.com,0.001825546%,,"6,331,704",00:08:36,8.80,16.67%,
3106,coastalgsrsd.org,0.001789945%,-0.93%,"1,900,507",00:03:54,8.78,12.50%,
4266,ameraucana.org,0.001785095%,-18.35%,"1,890,616",00:02:35,3.25,44.44%,
3141,nomorefleasplease.com,0.001712112%,49.88%,"3,357,655",00:03:34,4.56,50.00%,
45544,navicat.com.cn,0.001702948%,-22.46%,"412,005",00:04:48,3.36,33.33%,
35427,aquaristikshop.com,0.001638442%,,"421,528",00:03:49,7.22,25.16%,
Estimated Visits,sfhealthypets.com,0.001638346%,30.22%,4,793,899,00:01:50,1.27,50.00%,
11906,propdog.co.uk,0.001635841%,30.61%,"1,499,408",00:04:45,6.46,30.00%,
2714,neapolitan.org,0.001627828%,,"11,477,636",00:05:36,3.11,26.32%,
2853,unbreakoball.com,0.001591478%,-46.94%,"1,621,002",00:03:53,4.44,18.18%,
3128,skdox.com,0.001581079%,,"3,826,103",00:03:33,5.93,22.22%,
9809,repbagschat.forumotion.com,0.001565805%,,"934,071",00:09:56,19.63,0.00%,Yes
4216,wholesomepet.com,0.001560469%,43.96%,"3,121,251",00:05:49,7.36,0.00%,
2477,wagandtrain.com,0.001508851%,,"10,807,454",00:02:43,2.55,25.00%,
2840,bycats4cats.com,0.001485360%,-37.96%,"2,709,001",00:03:48,2.58,14.29%,
2434,roverrescue.com,0.001483117%,-4.36%,"3,690,891",00:04:39,2.77,20.00%,
18103,saycat.com,0.001475116%,,"1,468,058",00:03:53,4.39,0.00%,
Estimated Visits,homestead-america.com,0.001474424%,-5.43%,4,379,477,00:03:11,2.37,0.00%,
5504,argostar.com,0.001461348%,23.05%,"2,388,045",00:07:52,4.01,25.00%,
3153,petwants.com,0.001400048%,,"6,474,378",00:02:34,4.47,14.29%,
2350,abdragons.com,0.001378913%,-21.80%,"3,248,669",00:04:44,3.72,0.00%,
2235,theratub.com,0.001362158%,-52.95%,"2,204,745",00:09:51,2.59,29.17%,
18305,munal.mx,0.001337260%,,"956,410",00:02:48,4.09,20.83%,
2317,adoptapetfenton.com,0.001318778%,-18.03%,"4,902,747",00:02:36,2.92,33.33%,
Estimated Visits,littlecrittersvet.com,0.001318535%,-15.59%,3,608,728,00:00:00,0.64,88.89%,
2647,wayeh.com,0.001280569%,,"10,828,364",00:05:50,12.40,12.50%,
2090,nydobermans.com,0.001273454%,,"7,286,920",00:02:41,8.04,0.00%,
4155,ourpets.com,0.001269186%,-38.68%,"3,031,009",00:04:44,4.11,44.44%,
418716,akvaryum.com,0.001266065%,-30.59%,"57,828",00:08:42,3.39,44.44%,
6569,thanhcatinlanh.com,0.001253416%,-21.52%,"1,724,591",00:04:52,5.41,12.50%,
2154,xoddo.com,0.001166162%,-52.09%,"2,138,883",00:04:39,4.52,25.00%,
Estimated Visits,texasgoldenretrieverbreeders.com,0.001165913%,,7,564,956,00:00:29,3.13,37.50%,
2532,cliberdoodle.com,0.001148968%,0.94%,"2,977,218",00:05:52,3.52,12.50%,
4040,angeleyeskennels.com,0.001140396%,,Not Available,00:42:42,4.89,0.00%,
1916,iamra.org,0.001128411%,,"19,247,059",00:02:44,3.02,14.29%,
2196,gooddogbeds.com,0.001115430%,,"7,101,593",00:03:35,3.49,28.57%,
2202,urbanoutsitters.com,0.001102669%,,"6,197,372",00:05:59,5.15,12.50%,
1893,greatdanefriends.com,0.001073791%,,"11,230,367",00:04:44,4.05,14.29%,
4031,teafco.com,0.001071996%,,"3,313,896",00:03:45,10.87,14.29%,
10745,drahthaar.de,0.001066681%,8.70%,"945,823",00:02:58,3.14,0.00%,
2946,rainbowtoypoodles.com,0.001059167%,,"9,802,545",00:05:40,3.34,28.57%,
2099,equinology.com,0.001056733%,-41.65%,"2,625,506",00:02:34,6.30,50.00%,
2558,ifpigeon.com,0.000993563%,,"4,579,176",00:02:53,4.37,14.29%,
Estimated Visits,thekatizzzle.tumblr.com,0.000993435%,,8,506,373,00:00:49,3.22,33.33%,Yes
5268,vemco.com,0.000984279%,,"3,599,669",00:09:36,5.51,50.00%,
